Account,Trades,WinRate%,TotalPnL,MaxDD%,Sharpe30
0x083384f897ee0f19899168e3b1bec365f52a9012,3818,35.961236249345205,1600229.8199790001,-251.8797304836717,0.34366327427015925
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,7280,44.27197802197802,47885.320514,-38.346026507582735,0.7101284485065605
0x271b280974205ca63b716753467d5a371de622ab,3809,30.19165135206091,-70436.191318,-273.2734751937771,0.5142981577700138
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,13311,43.85846292540005,132464.814554,-59.65531836917095,0.5508276973441587
0x2c229d22b100a7beb69122eed721cee9b24011dd,3239,51.99135535659154,168658.00499400002,-3.397176470684877,0.48228600932218474
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,815,45.52147239263804,-31203.599985999994,-3740.1369362758805,1.1700101317463547
0x39cef799f8b69da1995852eea189df24eb5cae3c,3589,32.76678740596267,14456.919335999999,-140.7379859662846,0.23642317971206492
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,332,47.59036144578313,53496.247243,0.0,0.9104956163707892
0x420ab45e0bd8863569a5efbb9c05d91f40624641,383,23.49869451697128,199505.59273200002,0.0,0.44173312069690285
0x430f09841d65beb3f27765503d0f850b8bce7713,1237,48.42360549717058,416541.872341,0.0,0.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,8519,35.34452400516493,103343.716161,-16.626220101569842,0.5164128148080228
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,4356,48.62258953168044,677747.050643,-101.83629196959043,0.32821264849856946
0x4f93fead39b70a1824f981a54d4e55b278e9f760,7584,36.03639240506329,308975.869716,-240.34877054882017,0.5471701063125245
0x513b8629fe877bb581bf244e326a047b249c4ff1,12236,40.119320039228505,840422.5552160001,-38.80502490603423,0.45872054484508595
0x6d6a4b953f202f8df5bed40692e7fd865318264a,975,43.17948717948718,108731.21677199999,-0.08221975807415273,0.6629989824460565
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,1590,34.59119496855346,429355.565915,-12.039399780446793,-1.325456363143783
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,1430,30.62937062937063,403011.504159,-3.2453719039233455,-0.040540038092240174
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,9893,81.08763772364298,379095.406711,-26.943061151446923,0.5308299284310136
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,1559,45.22129570237332,14900.443047,-10.815486619160025,0.575361244484486
0x8170715b3b381dffb7062c0298972d4727a0a63b,4601,38.27428819821778,-167621.12478099996,-471.69237066354003,-0.6345977268057642
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,1911,33.01936159079016,65513.657906,-64.77096465165522,0.2205459040210443
0x8477e447846c758f5a675856001ea72298fd9cb5,14998,26.19682624349913,43917.008976,-443.2801893625675,-0.2394599456839322
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,3052,28.538663171690693,126578.942134,-0.5659705796055889,0.3834062650252769
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,15605,34.57866068567767,106302.875256,-12.981431858740464,0.0
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,417,57.31414868105516,72846.48427200002,-4.032211728665496,-0.004160479226881167
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,563,40.852575488454704,67845.619531,0.0,0.6201647470446175
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,534,32.20973782771536,21758.831753,-4557.731498749942,0.23667025948486395
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,14733,33.713432430597976,2143382.597689,-286.80850018378305,0.5290796313582002
0xb899e522b5715391ae1d4f137653e7906c5e2115,4838,43.861099627945435,22488.50082100001,-99.93384688324473,0.3888295430378119
0xbaaaf6571ab7d571043ff1e313a9609a10637864,21192,46.75821064552662,940163.80622,-0.03953641523868627,0.6128681517677445
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2641,32.75274517228323,220519.06185299996,-147.41478177802264,0.18569537385120835
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,40184,42.8230141349791,836080.5530770001,-12.983368796340411,0.9703823627899675
